videoId,label,lang,ok,segCount,ms,size,error
HKjJd12EAK4,"张小珺 x SpaceX 中文访谈",zh-Hans,false,,,,"fetch failed"
kCc8FmEb1nY,"Andrej Karpathy - Neural Nets: Zero to Hero",en,false,,,,"fetch failed"
l8pRSuU81PU,"Andrej Karpathy - Let's reproduce GPT-2",en,false,,,,"fetch failed"
7xTGNNLPyMI,"Lex Fridman - Sam Altman 3",en,false,,,,"fetch failed"
qCbfTN-caFI,"3Blue1Brown - Transformers",en,false,,,,"fetch failed"
